Id,SalePrice
1461,137828.84058758235
1462,157246.91809049278
1463,196316.31164812262
1464,206128.25595775535
1465,218679.0003963651
1466,185637.61356656827
1467,180922.02431924522
1468,176621.23099828445
1469,196901.51576502947
1470,138724.16752538408
1471,212149.97414249185
1472,93848.1331330895
1473,104026.25708728847
1474,152529.80357240842
1475,122927.4520215588
1476,364357.16870901216
1477,251223.44985288611
1478,295702.44587509934
1479,295633.80655711977
1480,435055.9799359379
1481,333464.0783901284
1482,219776.40580116885
1483,176140.82697133528
1484,171708.75238978575
1485,174062.09672007328
1486,212062.84757804938
1487,350184.0973046564
1488,244869.08903639257
1489,208735.1477740967
1490,240851.49824288982
1491,205421.93063632146
1492,103863.83565506096
1493,201059.64366016717
1494,299090.89917194826
1495,316464.9446613104
1496,259895.97162065984
1497,195988.09324882182
1498,161410.9764893584
1499,158017.51841054033
1500,154749.07509082503
1501,172338.18452702565
1502,156092.09382579385
1503,324405.57978303626
1504,249349.28605824432
1505,248491.7260428154
1506,201344.39414804877
1507,266749.10044375225
1508,225889.91134129564
1509,178661.0848447577
1510,155352.57155995452
1511,156590.40874275554
1512,169174.20337646286
1513,166341.2456644772
1514,186261.9248703184
1515,207581.9116455682
1516,166334.88780638517
1517,170222.39779347094
1518,135321.6175066839
1519,248313.74863916446
1520,143348.36075061272
1521,144770.69812231063
1522,184755.17795378048
1523,116164.14182710402
1524,135982.48348372002
1525,142449.5596901329
1526,131741.84615164952
1527,110482.36827012422
1528,140182.54547534083
1529,155614.2044587083
1530,200531.59198967848
1531,111107.76461114902
1532,117757.41196915742
1533,146279.1635912434
1534,127163.49086032626
1535,159142.86841142084
1536,125120.45015588672
1537,91226.77042800811
1538,170857.0605122388
1539,226547.11208325918
1540,112144.07563190458
1541,161544.9399664503
1542,151227.64911928397
1543,223164.46399145894
1544,91282.58688737714
1545,121641.22603036545
1546,149029.08656161837
1547,140419.66285084205
1548,144795.6312366877
1549,130411.27973353163
1550,161011.57641342364
1551,116792.25100460715
1552,156452.82668950563
1553,146628.01421588234
1554,124020.19174712242
1555,174412.62202585477
1556,82896.44670316548
1557,127700.21741455875
1558,106116.52352345726
1559,106612.12963639633
1560,159374.61936680766
1561,163744.15143836554
1562,136789.96526830937
1563,124969.92697236806
1564,173968.72036820435
1565,161692.57771127866
1566,261818.43318149805
1567,84066.98530822615
1568,251347.53453228262
1569,155675.7134024273
1570,146977.22267202887
1571,129437.0861617243
1572,152545.5665148083
1573,248694.73550646985
1574,126429.7834374498
1575,252723.54922349312
1576,261094.63761476727
1577,198228.95040373204
1578,161698.63198481768
1579,152757.526859347
1580,210512.61221330555
1581,149824.14816046538
1582,138777.40202103596
1583,345929.49284597323
1584,254786.82058407244
1585,160661.17776140472
1586,76879.27137898232
1587,107507.87471288908
1588,159928.73844369504
1589,102298.66141496434
1590,147608.5454043753
1591,106708.66717031242
1592,129009.0957649246
1593,147535.27181512665
1594,146132.06638761418
1595,119046.86262683962
1596,260236.74645361176
1597,177630.13190639598
1598,194597.52979514215
1599,221894.46870242737
1600,205061.21963149778
1601,80653.26314397628
1602,121571.62433662706
1603,110151.41780377021
1604,294058.1247048359
1605,257117.1026998108
1606,182809.8410913515
1607,193575.30958905243
1608,222411.4086127994
1609,192181.947501991
1610,148500.05380617653
1611,161084.48889458232
1612,172404.9393945485
1613,167714.19384951805
1614,128596.06894051506
1615,90981.96880116448
1616,82578.0332026381
1617,98870.84538160748
1618,135030.74045641258
1619,145023.40059789296
1620,160006.99969201037
1621,145804.12432679953
1622,153825.72761715233
1623,299773.7269435816
1624,229394.37115414228
1625,134863.68709357834
1626,189750.6054334993
1627,202848.57271047562
1628,289771.08170043555
1629,183845.7218054235
1630,395012.84451005096
1631,229533.7106014967
1632,263572.35858556844
1633,170137.0771038483
1634,191896.56547527853
1635,197927.9897539074
1636,165787.60834229097
1637,201731.1033739319
1638,225043.96671563736
1639,196330.03967778097
1640,269050.9871645095
1641,201689.44882520984
1642,250103.82278972564
1643,236026.0384403759
1644,240097.02067146046
1645,201081.65783719762
1646,168636.1408117432
1647,174935.903457536
1648,139808.78430381214
1649,146505.83019486774
1650,124144.09801361013
1651,128043.96504063177
1652,95007.06114453396
1653,99316.27685436231
1654,150226.6076069648
1655,140267.3362644134
1656,150161.5352809228
1657,150962.16682108663
1658,154042.35669848777
1659,130022.18492904106
1660,173344.25935277896
1661,376537.54466387955
1662,380597.06900194864
1663,392395.2647784507
1664,368384.0151798675
1665,320102.6301928986
1666,353965.07746598584
1667,358185.7005788566
1668,353989.1203104582
1669,303782.42109821126
1670,358630.7913633658
1671,270498.4760631128
1672,429011.4048907295
1673,281979.6034134944
1674,254034.75315502746
1675,195746.60084414927
1676,200157.57728876828
1677,220153.93329957762
1678,414400.948314219
1679,387520.69942345365
1680,356570.12375816016
1681,301058.6926225801
